method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,feature,feature_index,attribution,abs_attribution,ci_width,posterior_std,rank_probability_top_k,n_explained_instances
bootstrap_fpde,banknote-authentication,10093,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.012406841067295114,0.1628064220958898,0.10979334929109509,0.030060156526313647,1.0,50
bootstrap_fpde,banknote-authentication,10093,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.0027130534888423342,0.029220990560071877,0.12530803241885832,0.035067550170188526,1.0,50
bootstrap_fpde,banknote-authentication,10093,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.7012639691973281,0.7642195361564714,0.0619148171287915,0.016823974466836235,1.0,50
bootstrap_fpde,banknote-authentication,10093,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.25313563002336337,0.4930156838331232,0.09334683395211624,0.025710489503781218,1.0,50
bootstrap_fpde,banknote-authentication,10093,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.030762995252784107,0.1534209269412258,0.10250069142946022,0.028155990289382503,1.0,50
bootstrap_fpde,banknote-authentication,10093,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.0041380199718663545,0.025663759751960395,0.10961959421471189,0.03114293626106892,1.0,50
hyb_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.6823768215870019,0.8007233651779044,,,,50
hyb_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.21982186476662766,0.45192589550631806,,,,50
hyb_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.01613110991978492,0.13001487144759277,,,,50
hyb_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.0039711408613368315,0.02901653116586062,,,,50
hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.7566579418112626,0.8335827024963787,,,,50
hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.30706503776337424,0.5510539295486385,,,,50
hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.0694097605731863,0.17633321703321858,,,,50
hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.0037996395126452327,0.02801281088367041,,,,50
hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.7494598342406661,0.7933136343696893,,,,50
hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.32888830560716587,0.5374690791493122,,,,50
hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.04148409078460198,0.1569786268800476,,,,50
hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,-0.0010041500146996465,0.025204728278822763,,,,50
hyb_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.6293449079383491,0.7740993626071458,,,,50
hyb_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.4013303809151561,0.5472534040052847,,,,50
hyb_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.0692518960012711,0.16331194917326236,,,,50
hyb_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,-0.004642045071270884,0.03024464568145185,,,,50
hyb_fpde,banknote-authentication,10093,4,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.5541710807733096,0.6417786025687525,,,,50
hyb_fpde,banknote-authentication,10093,4,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.27694530377135307,0.4892979752401192,,,,50
hyb_fpde,banknote-authentication,10093,4,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.020564580160327216,0.15126648130647755,,,,50
hyb_fpde,banknote-authentication,10093,4,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,-0.0014774138484051186,0.02462634255356579,,,,50
hyb_fpde,banknote-authentication,10093,5,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.7514965225808595,0.8719984158316093,,,,50
hyb_fpde,banknote-authentication,10093,5,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.2746543111793924,0.584906385577833,,,,50
