method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,feature,feature_index,posterior_mean,posterior_std,ci_lower_95,ci_upper_95,ci_width,p_positive,p_negative,sign_confidence,n_explained_instances,n_train,n_test
bayesian_hyb_fpde,blood-transfusion-service-center,10101,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.08914314854368628,0.045611716813379555,8.003738709009944e-05,0.17729268184558641,0.1772126444584963,0.66,0.34,1.0,50,673,75
bayesian_hyb_fpde,blood-transfusion-service-center,10101,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.0059743754852718345,0.05984928930774584,-0.11086542703776996,0.12322909548565612,0.23409452252342608,0.53756,0.46244,0.7829200000000001,50,673,75
bayesian_hyb_fpde,blood-transfusion-service-center,10101,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.12830166880349939,0.03924228457757809,0.05205187764114866,0.20435951725259585,0.15230763961144722,0.64,0.36,1.0,50,673,75
bayesian_hyb_fpde,blood-transfusion-service-center,10101,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.1254122682906994,0.048062495497676695,0.030997232971851883,0.21635353356979983,0.18535630059794794,0.72,0.28,1.0,50,673,75
bayesian_hyb_fpde,blood-transfusion-service-center,10101,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.12541603053058836,0.048044248671520684,0.03132240105645476,0.2175696572335714,0.18624725617711665,0.72,0.28,1.0,50,673,75
bayesian_hyb_fpde,blood-transfusion-service-center,10101,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.0002303948461926436,0.056897980932741996,-0.11028339007602067,0.11109082595439433,0.221374216030415,0.51516,0.48484,0.7830800000000001,50,673,75
bayesian_hyb_fpde,blood-transfusion-service-center,10101,4,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.1339380900220351,0.03899478392756093,0.056830068374096626,0.20907564488350774,0.15224557650941115,0.64,0.36,1.0,50,673,75
bayesian_hyb_fpde,blood-transfusion-service-center,10101,4,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.10143176190518309,0.045937729357307944,0.010802199267581348,0.18895080740160133,0.17814860813402,0.68,0.32,1.0,50,673,75
bayesian_hyb_fpde,blood-transfusion-service-center,10101,4,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.100762563578793,0.045983323925266474,0.010883964523186749,0.18903298843597038,0.17814902391278362,0.68,0.32,1.0,50,673,75
bayesian_hyb_fpde,blood-transfusion-service-center,10101,4,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.004415197764081541,0.059914577939684195,-0.11264883215901193,0.12193651832873195,0.23458535048774387,0.53124,0.46875999999999995,0.7828400000000001,50,673,75
